SampleIndex,TargetViscosity_cP,GlycerolVolumeFraction,WeightFraction,Glycerol_mass_g,Water_mass_g,Density_kg_per_m3,DynamicViscosity_Pa_s,DynamicViscosity_Ns_per_m2,DynamicViscosity_cP,KinematicViscosity_m2_per_s,KinematicViscosity_cSt,SurfaceTension_N_per_m,Re_270rpm,Re_290rpm,Re_310rpm,Re_330rpm,Re_350rpm,Re_370rpm,Re_390rpm,Re_410rpm,Re_430rpm,Re_450rpm,We_270rpm,We_290rpm,We_310rpm,We_330rpm,We_350rpm,We_370rpm,We_390rpm,We_410rpm,We_430rpm,We_450rpm,Fr_270rpm,Fr_290rpm,Fr_310rpm,Fr_330rpm,Fr_350rpm,Fr_370rpm,Fr_390rpm,Fr_410rpm,Fr_430rpm,Fr_450rpm,Ca_270rpm,Ca_290rpm,Ca_310rpm,Ca_330rpm,Ca_350rpm,Ca_370rpm,Ca_390rpm,Ca_410rpm,Ca_430rpm,Ca_450rpm
11,12.3604506946,0.595244977052,0.649837912247,416.943933885,224.668268215,1164.36911527,0.0123604506946,0.0123604506946,12.3604506946,1.06155775969e-05,10.6155775969,0.0666663672545,678.248539405,728.489171953,778.729804502,828.97043705,879.211069599,929.451702147,979.692334696,1029.93296724,1080.17359979,1130.41423234,22.6354372608,26.1130353036,29.8390332067,33.8134309699,38.0362285933,42.5074260769,47.2270234207,52.1950206247,57.411417689,62.8762146134,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0333733667612,0.0358454680028,0.0383175692444,0.040789670486,0.0432617717275,0.0457338729691,0.0482059742107,0.0506780754522,0.0531501766938,0.0556222779354
12,14.0520703589,0.614037882468,0.667511904237,429.978024203,214.172321992,1169.1701408,0.0140520703589,0.0140520703589,14.0520703589,1.20188412863e-05,12.0188412863,0.0664989224672,599.05941251,643.434183807,687.808955104,732.183726401,776.558497698,820.933268995,865.308040292,909.682811589,954.057582886,998.432354183,22.7860008292,26.2867307234,30.0375127529,34.0383469177,38.2892332178,42.7901716532,47.5411622239,52.5422049299,57.7932997711,63.2944467477,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0380362954882,0.0408537988577,0.0436713022272,0.0464888055967,0.0493063089662,0.0521238123357,0.0549413157051,0.0577588190746,0.0605763224441,0.0633938258136
13,15.8842508396,0.631411478381,0.683718278123,442.008638445,204.469088695,1173.5715884,0.0158842508396,0.0158842508396,15.8842508396,1.35349653967e-05,13.5349653967,0.0663441237276,531.955552819,571.359667842,610.763782866,650.167897889,689.572012913,728.976127937,768.38024296,807.784357984,847.188473007,886.592588031,22.9251468421,26.4472544502,30.2209411732,34.246207011,38.5230519637,43.0514760313,47.8314792137,52.863061511,58.1462229232,63.6809634503,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0430959818365,0.0462882767873,0.0494805717382,0.052672866689,0.0558651616399,0.0590574565907,0.0622497515416,0.0654420464924,0.0686343414433,0.0718266363941
14,17.8656108918,0.647564158151,0.698672637144,453.176754109,195.44855339,1177.63178772,0.0178656108919,0.0178656108919,17.8656108919,1.51707953863e-05,15.1707953863,0.0662002033509,474.596078629,509.751343712,544.906608796,580.06187388,615.217138963,650.372404047,685.52766913,720.682934214,755.838199298,790.993464381,23.0544729417,26.5964495802,30.39142455,34.4393978512,38.7403694836,43.2943394474,48.1013077425,53.161274369,58.4742393267,64.0402026158,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.048577040519,0.0521753398167,0.0557736391144,0.0593719384121,0.0629702377098,0.0665685370075,0.0701668363052,0.0737651356029,0.0773634349006,0.0809617341983
15,20.0050870084,0.662654668119,0.712546205836,463.595156949,187.022519704,1181.39718739,0.0200050870084,0.0200050870084,20.0050870084,1.6933413438e-05,16.933413438,0.0660657469071,425.194838972,456.69075297,488.186666968,519.682580966,551.178494964,582.674408962,614.17032296,645.666236958,677.162150956,708.658064954,23.1752583832,26.7357919071,30.5506492541,34.6198304243,38.9433354176,43.5211642341,48.3533168736,53.4397933363,58.7805936222,64.3757177312,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0545050321853,0.0585424419768,0.0625798517684,0.0666172615599,0.0706546713514,0.0746920811429,0.0787294909344,0.0827669007259,0.0868043105174,0.0908417203089
16,22.3119637412,0.676812164417,0.725477305921,473.355586699,179.119112145,1184.90539108,0.0223119637412,0.0223119637412,22.3119637412,1.88301647617e-05,18.8301647617,0.065939603615,382.365215127,410.688564396,439.011913664,467.335262933,495.658612202,523.98196147,552.305310739,580.628660008,608.952009276,637.275358545,23.2885444051,26.8664826402,30.6999878921,34.7890601607,39.1336994462,43.7339057484,48.5896790675,53.7010194033,59.0679267559,64.6904011253,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0609065455847,0.0654181415539,0.0699297375231,0.0744413334924,0.0789529294616,0.0834645254308,0.0879761214001,0.0924877173693,0.0969993133386,0.101510909308
17,24.7958989901,0.690143238569,0.737579326533,482.533731529,171.678926243,1188.18727654,0.0247958989901,0.0247958989901,24.7958989901,2.08686791044e-05,20.8686791044,0.0658208237443,345.014649177,370.571289857,396.127930537,421.684571216,447.241211896,472.797852576,498.354493256,523.911133936,549.467774615,575.024415295,23.3951905005,26.9895133209,30.8405734856,34.9483709946,39.3129058479,43.9341780456,48.8121875875,53.9469344738,59.3384187043,64.9866402792,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0678092671031,0.0728321757774,0.0778550844517,0.082877993126,0.0879009018003,0.0929238104746,0.0979467191489,0.102969627823,0.107992536497,0.113015445172
18,27.4669462414,0.702736953956,0.748946405882,491.192809885,164.652262643,1191.26851259,0.0274669462414,0.0274669462414,27.4669462414,2.30568893169e-05,23.0568893169,0.0657086137403,312.271091778,335.402283762,358.533475745,381.664667729,404.795859712,427.927051696,451.05824368,474.189435663,497.320627647,520.45181963,23.4959148342,27.1057124493,30.9733527512,35.0988357399,39.4821614154,44.1233297778,49.0223408269,54.1791945627,59.5938909854,65.2664300949,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0752420427404,0.0808155273879,0.0863890120353,0.0919624966827,0.0975359813302,0.103109465978,0.108682950625,0.114256435272,0.11982991992,0.125403404567
19,30.3355749565,0.714668537647,0.75965757361,499.386196898,157.997095583,1194.17066944,0.0303355749566,0.0303355749566,30.3355749566,2.5403048101e-05,25.403048101,0.0656023033296,283.430554135,304.425409997,325.420265859,346.415121721,367.409977583,388.404833444,409.399689306,430.394545168,451.38940103,472.384256892,23.5913239177,27.2157797185,31.0991252193,35.2413604202,39.6424853212,44.3024999222,49.2214042233,54.3991982245,59.8358819256,65.5314553269,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.08323493559,0.0894004863745,0.0955660371589,0.101731587943,0.107897138728,0.114062689512,0.120228240297,0.126393791081,0.132559341866,0.13872489265
20,33.4126898632,0.726002139635,0.769779830696,507.1593878,151.677551772,1196.91204706,0.0334126898632,0.0334126898632,33.4126898632,2.79157436383e-05,27.9157436383,0.0655013209359,257.918975517,277.024084815,296.129194112,315.23430341,334.339412708,353.444522005,372.549631303,391.6547406,410.759849898,429.864959195,23.6819348194,27.3203116366,31.2185725122,35.3767174462,39.7947464386,44.4726594893,49.4104565984,54.6081377659,60.0657029917,65.783152276,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0918192807329,0.0986207089353,0.105422137138,0.11222356534,0.119024993543,0.125826421745,0.132627849947,0.13942927815,0.146230706352,0.153032134555
